iso,anio,reservas_usd,reservas_meses
HTI,2022,2173397186.29319,4.76946098998481
HTI,2023,2583016532.68436,5.79295823641171
JAM,2015,2913835195.89151,4.74928181293947
JAM,2016,3291468022.15921,5.52675266361167
JAM,2017,3781167558.10295,5.69691068614603
JAM,2018,3532039680.05605,4.79732336970532
JAM,2019,3631089258.40452,4.77244101543929
JAM,2020,3938028780.65402,7.03930316110937
JAM,2021,4837564537.17809,7.07548946998448
JAM,2022,4520481084.67503,5.14840906552561
JAM,2023,4868643492.7225,5.45473168929283
KNA,2015,288394872.297999,5.61599194620497
KNA,2016,320542568.31894,6.02159855031143
KNA,2017,365098328.465168,7.09584889971389
KNA,2018,363216830.554272,6.597862040271
KNA,2019,362798006.089721,6.6725651472373
KNA,2020,373502419.388162,9.31125434473547
KNA,2021,337532614.294912,8.8563007369007
KNA,2022,293979512.215724,5.40127299880112
KNA,2023,286074596.982653,4.56749477767838
LCA,2015,317540361.620252,3.74807071900081
LCA,2016,305519500.768958,3.44999825172464
LCA,2017,321767417.204396,3.47441325755226
LCA,2018,285824309.747523,3.0002032446693
LCA,2019,260870367.109565,2.62039555741983
LCA,2020,231361279.00078,3.43479867374357
LCA,2021,433117473.472593,5.29930846290853
LCA,2022,389083414.445693,3.24288751432937
LCA,2023,424323643.897079,3.26389479224381
MEX,2015,177596632552.624,4.46007738307296
MEX,2016,177973637254.61,4.54794007085504
MEX,2017,175469669183.544,4.12120736692421
MEX,2018,176390278595.584,3.74611361421752
MEX,2019,183056094117.556,3.91541539352767
MEX,2020,199069188921.046,5.07902828726659
MEX,2021,207799490381.042,4.12398114778684
MEX,2022,201118689946.087,3.32190681281323
MEX,2023,214316827085.02,3.44254741981939
NIC,2015,2492262791.93881,3.7741066722948
NIC,2016,2447771381.81086,3.68793006412423
NIC,2017,2757785586.66498,3.96565932174712
NIC,2018,2261143360.12993,3.6196633389663
NIC,2019,2397444668.92872,4.22382781699916
NIC,2020,3211903361.95717,5.66673140782846
NIC,2021,4046556203.71439,5.32651863066261
NIC,2022,4404430742.32312,4.58563994758519
NIC,2023,5446998877.80189,5.60886126583169
PAN,2015,3378098353.89896,1.24336118096205
PAN,2016,3846753359.06372,1.46541211430657
PAN,2017,2703336161.52673,0.985426456341139
PAN,2018,2121303718.10741,0.713868712704278
PAN,2019,3423477098.41293,1.21543506107725
PAN,2020,9613847648.57363,5.4739359014065
PAN,2021,8832242051.03447,3.57178726109383
PAN,2022,6876072133.54101,2.1868051977748
PAN,2023,6756683681.74504,1.84468483901908
PER,2015,61594854517.8208,13.5146151849289
PER,2016,61801163825.775,13.7928059022351
PER,2017,63819289822.9382,12.6238201396483
PER,2018,60333192028.0169,11.0830385218691
PER,2019,68440494635.2458,12.7993509450421
PER,2020,74961659711.1288,17.7269194192975
PER,2021,78589897922.7032,12.0596433897054
PER,2022,72328123071.4846,9.69399078779117
PER,2023,71394387239.6392,10.24496362671
PRI,2015,,
PRI,2016,,
PRI,2017,,
PRI,2018,,
PRI,2019,,
PRI,2020,,
PRI,2021,,
PRI,2022,,
PRI,2023,,
PRY,2015,5938523046.9591,5.34358807961526
PRY,2016,6880868043.64371,6.50387352526993
PRY,2017,7877536165.92124,6.43777405690208
PRY,2018,7697884446.2912,5.67943257462605
PRY,2019,7717366750.62534,6.03053633941859
PRY,2020,9202411639.30502,8.95570544833351
PRY,2021,9661226172.74015,7.25198978805073
PRY,2022,9518826116.61083,6.11078283387662
PRY,2023,9885683629.59266,5.96576531400375
SLV,2015,2786587496.10091,2.75412377179494
SLV,2016,3238334348.81609,3.21246782856236
SLV,2017,3567268275.79971,3.32164342936321
SLV,2018,3568810597.97393,3.05509694748584
SLV,2019,4445830632.52269,3.7962533741022
SLV,2020,3082859548.1397,3.08381767461304
SLV,2021,3426052270.22409,2.36816272526362
SLV,2022,2694849266.61349,1.5809932923873
SLV,2023,3079168947.08155,1.88363728344527
SUR,2015,330244649.262198,1.46264722982037
SUR,2016,381050648.917497,2.42029925084835
SUR,2017,424603963.080103,2.31457000159177
SUR,2018,580780344.590911,2.79585970804782
SUR,2019,647934729.692427,2.73212989406859
SUR,2020,584929135.567322,3.02749465777246
SUR,2021,992256911.851907,5.23116182863996
SUR,2022,1194597643.59574,5.38622845997448
SUR,2023,1346122670.63627,6.28334366192083
TTO,2015,9927294618.75719,10.6152502907717
TTO,2016,9464961137.25085,10.6266420162222
TTO,2017,8369757249.16876,10.1209172206374
TTO,2018,7575050348.59938,8.73391379485296
TTO,2019,6928951713.59145,9.0517059802333
TTO,2020,6953756951.24419,9.98053113939288
TTO,2021,6879594621.96588,8.51583252950165
TTO,2022,6832392604.5144,5.23356973118278
TTO,2023,6255633381.74802,7.51755820505273
URY,2015,15633854333.4106,10.5365060733601
URY,2016,13471669447.4569,10.0260447313037
URY,2017,15959345500.7884,10.3573672512103
URY,2018,15556520867.2273,9.67309074082578
URY,2019,14504021740.9161,9.54589495488953
URY,2020,16250371651.3164,12.8094032622181
URY,2021,16962770286.5533,8.98319550226492
URY,2022,15126762057.5326,6.54647206865833
URY,2023,16256769466.6151,7.20661793162358
VCT,2015,166009602.198323,4.49785994152175
VCT,2016,192255789.768022,5.08927302145391
VCT,2017,182046079.244525,4.94893570201221
VCT,2018,169562298.93521,4.40846804942075
VCT,2019,193357067.381966,5.3009680625879
VCT,2020,205195146.794269,6.31753148805809
VCT,2021,311902934.999223,8.26662277597421
VCT,2022,320193327.161331,6.87607014697392
VCT,2023,280564003.843077,5.55397259005317
VEN,2015,15625329211.5224,3.37152426616083
VEN,2016,10150000483.5116,3.65381748319002
VEN,2017,9794062064.62109,
VEN,2018,,
VEN,2019,,
VEN,2020,,
VEN,2021,,
VEN,2022,,
VEN,2023,,
